You did not select any stats, using -cdngy by default.
----system---- ----total-usage---- -dsk/total- -net/total- ---paging-- ---system--
     time     |usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
11-08 00:18:18|                   |           |           |           |           
11-08 00:18:19|  0   0 100   0   0|   0  7160B|  52   414 |   0     0 |  55    62 
11-08 00:18:20|  0   0 100   0   0|   0     0 | 472   664 |   0     0 |  94    95 
11-08 00:18:21|  0   0  99   0   0|   0     0 | 560   822 |   0     0 |  94    92 
11-08 00:18:22|  6  13  72   3   6|  33M   32k|3828  4190 |   0     0 |1392   633 
11-08 00:18:23|  4   2  92   1   2|   0    91M| 348k   96M|   0     0 |  13k 2643 
11-08 00:18:24|  3   1  94   0   1|   0    86M| 327k   91M|   0     0 |  13k 2471 
11-08 00:18:25|  3   1  96   0   1|   0    61M| 233k   64M|   0     0 |9120  1784 
11-08 00:18:26|  2   2  96   0   0|   0    61M| 231k   64M|   0     0 |8901  1728 
11-08 00:18:27|  1   1  95   0   0|   0    61M| 232k   64M|   0     0 |8781  1737 
11-08 00:18:28|  2   0  96   0   1|   0    61M| 230k   64M|   0     0 |8900  1780 
11-08 00:18:29|  3   1  96   0   1|   0    61M| 233k   64M|   0     0 |8900  1761 
11-08 00:18:30|  2   1  96   0   1|   0    61M| 230k   64M|   0     0 |8702  1732 
11-08 00:18:31|  3   1  96   0   2|   0    61M| 227k   64M|   0     0 |8774  1800 
11-08 00:18:32|  1   1  96   0   0|   0    61M| 231k   64M|   0     0 |8662  1779 
11-08 00:18:33|  2   1  97   0   1|   0    61M| 229k   64M|   0     0 |8061  1718 
11-08 00:18:34|  2   1  95   0   1|   0    61M| 233k   64M|   0     0 |8678  1760 
11-08 00:18:35|  3   1  96   0   1|   0    61M| 232k   64M|   0     0 |8815  1790 
11-08 00:18:36|  2   1  95   0   0|   0    61M| 231k   64M|   0     0 |8493  1775 
11-08 00:18:37|  2   0  96   0   1|   0    61M| 229k   64M|   0     0 |8570  1723 
11-08 00:18:38|  2   1  95   0   1|   0    54M| 205k   57M|   0     0 |7870  1637 
11-08 00:18:39|  2   1  95   0   3|   0    68M| 257k   72M|   0     0 |9760  1915 
11-08 00:18:40|  2   0  95   0   0|   0    61M| 230k   64M|   0     0 |8386  1677 
11-08 00:18:41|  2   1  96   0   2|   0    61M| 230k   64M|   0     0 |8510  1679 
11-08 00:18:42|  2   1  96   0   0|   0    61M| 233k   64M|   0     0 |8720  1692 
11-08 00:18:43|  2   0  96   0   0|   0    61M| 232k   64M|   0     0 |8888  1689 
11-08 00:18:44|  3   1  96   0   1|   0    61M| 231k   64M|   0     0 |8868  1685 
11-08 00:18:45|  2   1  97   0   2|   0    61M| 233k   64M|   0     0 |8900  1703 
11-08 00:18:46|  2   0  95   0   0|   0    61M| 229k   65M|   0     0 |8757  1693 
11-08 00:18:47|  3   1  96   0   1|   0    61M| 231k   64M|   0     0 |8739  1688 
11-08 00:18:48|  2   0  96   0   1|   0    62M| 232k   64M|   0     0 |8985  1683 
11-08 00:18:49|  2   0  95   0   0|   0    61M| 229k   64M|   0     0 |8687  1724 
11-08 00:18:50|  2   1  97   0   1|   0    61M| 231k   64M|   0     0 |8542  1709 
11-08 00:18:51|  2   1  95   0   1|   0    61M| 231k   64M|   0     0 |8827  1746 
11-08 00:18:52|  2   1  96   0   1|   0    61M| 231k   64M|   0     0 |8687  1722 
11-08 00:18:53|  3   1  96   0   1|   0    61M| 228k   64M|   0     0 |8680  1757 
11-08 00:18:54|  2   1  96   0   0|   0    61M| 230k   64M|   0     0 |8727  1720 
11-08 00:18:55|  2   0  94   0   2|   0    40M| 150k   41M|   0     0 |6063  1305 
11-08 00:18:56|  3   1  94   0   3|   0    79M| 314k   84M|   0     0 |  12k 2605 
11-08 00:18:57|  2   0  95   0   0|   0    64M| 252k   68M|   0     0 |8953  1959 
11-08 00:18:58|  2   0  96   0   0|   0    62M| 240k   64M|   0     0 |9123  2032 
11-08 00:18:59|  2   0  96   0   1|   0    61M| 241k   64M|   0     0 |9085  2034 
11-08 00:19:00|  2   1  96   0   1|   0    61M| 237k   64M|   0     0 |8998  2007 
11-08 00:19:01|  2   0  96   0   1|   0    61M| 229k   64M|   0     0 |8460  2031 
11-08 00:19:02|  2   1  95   0   1|   0    61M| 233k   64M|   0     0 |7829  1928 
11-08 00:19:03|  2   1  96   0   1|   0    61M| 231k   64M|   0     0 |7629  1892 
11-08 00:19:04|  2   0  96   0   0|   0    61M| 238k   64M|   0     0 |8265  2002 
11-08 00:19:05|  2   1  96   0   1|   0    61M| 234k   64M|   0     0 |7865  2004 
11-08 00:19:06|  2   1  96   0   1|   0    61M| 233k   64M|   0     0 |7588  1860 
11-08 00:19:07|  2   0  96   0   1|   0    62M| 235k   65M|   0     0 |7873  1967 
11-08 00:19:08|  2   1  96   0   1|   0    61M| 236k   64M|   0     0 |8528  2020 
11-08 00:19:09|  2   0  96   0   2|   0    61M| 238k   64M|   0     0 |8802  2032 
11-08 00:19:10|  3   0  96   0   0|   0    60M| 233k   64M|   0     0 |8631  2046 
11-08 00:19:11|  2   0  96   0   1|   0    62M| 240k   64M|   0     0 |8801  2046 
11-08 00:19:12|  1   1  94   0   4|   0    27M| 142k   28M|   0     0 |6436  2428 
11-08 00:19:13|  3   0  93   0   1|   0  3379k| 226k 3719k|   0     0 |  15k 8186 
11-08 00:19:14|  1   0  93   0   1|   0  3397k| 229k 3723k|   0     0 |  14k 8241 
11-08 00:19:15|  3   0  93   0   1|   0  3340k| 223k 3657k|   0     0 |  14k 8110 
11-08 00:19:16|  2   0  93   0   1|   0  3532k| 237k 3862k|   0     0 |  15k 8561 
11-08 00:19:17|  2   0  92   0   1|   0  3628k| 243k 3967k|   0     0 |  15k 8786 
11-08 00:19:18|  2   0  93   0   1|   0  3908k| 264k 4282k|   0     0 |  17k 9431 
11-08 00:19:19|  3   1  92   0   2|   0  3630k| 239k 3937k|   0     0 |  16k 8638 
11-08 00:19:20|  3   0  93   0   1|   0  3806k| 257k 4212k|   0     0 |  17k 9203 
11-08 00:19:21|  2   0  92   0   1|   0  4094k| 275k 4481k|   0     0 |  17k 9845 
11-08 00:19:22|  2   1  92   0   0|   0  4024k| 272k 4396k|   0     0 |  17k 9682 
11-08 00:19:23|  3   0  92   0   2|   0  4000k| 271k 4383k|   0     0 |  17k 9676 
11-08 00:19:24|  2   1  92   0   2|   0  4216k| 283k 4597k|   0     0 |  18k   10k
11-08 00:19:25|  2   0  91   0   1|   0  4172k| 280k 4566k|   0     0 |  18k   10k
11-08 00:19:26|  4   0  91   0   2|   0  4152k| 279k 4555k|   0     0 |  18k   10k
11-08 00:19:27|  2   0  92   0   1|   0  4196k| 282k 4609k|   0     0 |  18k   10k
11-08 00:19:28|  2   0  91   0   1|   0  4148k| 280k 4553k|   0     0 |  18k   10k
11-08 00:19:29|  3   0  92   0   2|   0  3996k| 268k 4361k|   0     0 |  17k 9599 
11-08 00:19:30|  3   0  92   0   2|   0  4044k| 272k 4423k|   0     0 |  17k 9744 
11-08 00:19:31|  1   1  92   0   0|   0  3756k| 252k 4111k|   0     0 |  16k 9083 
11-08 00:19:32|  3   0  92   0   2|   0  3956k| 267k 4330k|   0     0 |  17k 9541 
11-08 00:19:33|  4   0  93   0   2|   0  3844k| 258k 4199k|   0     0 |  17k 9257 
11-08 00:19:34|  2   0  92   0   1|   0  3688k| 248k 4070k|   0     0 |  16k 8876 
11-08 00:19:35|  2   1  92   0   2|   0  3948k| 265k 4334k|   0     0 |  17k 9535 
11-08 00:19:36|  3   0  92   0   1|   0  4108k| 276k 4505k|   0     0 |  18k 9888 
11-08 00:19:37|  2   0  91   0   0|   0  4212k| 284k 4610k|   0     0 |  18k   10k
11-08 00:19:38|  2   0  92   0   1|   0  3956k| 266k 4326k|   0     0 |  17k 9545 
11-08 00:19:39|  3   0  91   0   2|   0  3976k| 268k 4348k|   0     0 |  17k 9597 
11-08 00:19:40|  4   0  92   0   1|   0  4192k| 283k 4589k|   0     0 |  18k   10k
11-08 00:19:41|  2   1  92   0   1|   0  4080k| 275k 4457k|   0     0 |  18k 9819 
11-08 00:19:42|  2   2  90   0   2|   0  3028k| 205k 3319k|   0     0 |  13k 7424 
11-08 00:19:43|  0   0 100   0   0|   0     0 | 120   338 |   0     0 |  93   114 
