You did not select any stats, using -cdngy by default.
----system---- ----total-usage---- -dsk/total- -net/total- ---paging-- ---system--
     time     |usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
11-08 00:30:04|                   |           |           |           |           
11-08 00:30:05|  0   0 100   0   0|   0     0 |  52   414 |   0     0 |  72    94 
11-08 00:30:06|  0   0 100   0   0|   0    16k| 120   338 |   0     0 |  77   106 
11-08 00:30:07|  0   0 100   0   0|   0     0 |  52   190 |   0     0 |  71   107 
11-08 00:30:08|  0   0 100   0   0|   0     0 |  52   190 |   0     0 |  63    90 
11-08 00:30:09|  1   0  98   0   0|   0     0 | 120   338 |   0     0 | 157   188 
11-08 00:30:10|  1   0 100   0   0|   0     0 |  52   190 |   0     0 |  79   103 
11-08 00:30:11|  0   0 100   0   0|   0     0 |  52   190 |   0     0 |  69    90 
11-08 00:30:12|  0   0 100   0   0|   0     0 | 128   280 |   0     0 |  77   102 
11-08 00:30:13|  0   0  99   0   0|   0     0 |  52   190 |   0     0 |  68    88 
11-08 00:30:14|  0   0 100   0   0|   0     0 | 412   650 |   0     0 | 119   138 
11-08 00:30:15|  4   9  88   0   0|   0     0 | 557   687 |   0     0 | 392   163 
11-08 00:30:16|  2   6  90   0   0|1051k  107M| 328  1353 |   0     0 |1462   597 
11-08 00:30:17|  0   0  99   0   0|   0    61M| 104   388 |   0     0 | 646   296 
11-08 00:30:18|  0   0  99   0   0|   0    61M| 104   388 |   0     0 | 637   291 
11-08 00:30:19|  0   0  99   0   0|   0    61M| 172   536 |   0     0 | 641   297 
11-08 00:30:20|  1   1  99   0   0|   0    61M| 104   380 |   0     0 | 642   282 
11-08 00:30:21|  1   1  99   0   0|   0    61M| 208  4712 |   0     0 | 645   291 
11-08 00:30:22|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 642   296 
11-08 00:30:23|  0   1  99   0   0|   0    61M| 104   380 |   0     0 | 638   285 
11-08 00:30:24|  2   1  99   0   0|   0    61M| 104   380 |   0     0 | 648   298 
11-08 00:30:25|  0   0  98   0   0|   0    61M| 104   380 |   0     0 | 638   288 
11-08 00:30:26|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 629   287 
11-08 00:30:27|  1   1  99   0   0|   0    61M| 248   618 |   0     0 | 675   300 
11-08 00:30:28|  1   0  99   0   0|   0    61M| 180   470 |   0     0 | 698   305 
11-08 00:30:29|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 645   293 
11-08 00:30:30|  1   0  99   0   0|   0    61M| 172   528 |   0     0 | 639   291 
11-08 00:30:31|  0   1  98   0   0|   0    61M| 104   380 |   0     0 | 676   286 
11-08 00:30:32|  0   1  98   0   0|1052k   61M| 104   308 |   0     0 | 859   455 
11-08 00:30:33|  0   1  99   0   0|   0    61M| 104   380 |   0     0 | 634   287 
11-08 00:30:34|  1   0  99   0   0|   0    61M| 104   380 |   0     0 | 646   307 
11-08 00:30:35|  0   1  99   0   0|   0    61M| 104   380 |   0     0 | 640   295 
11-08 00:30:36|  1   1  99   0   0|   0    61M| 104   380 |   0     0 | 641   281 
11-08 00:30:37|  0   0  99   0   0|   0    61M| 172   528 |   0     0 | 648   282 
11-08 00:30:38|  1   0  98   0   0|   0    61M| 104   380 |   0     0 | 633   288 
11-08 00:30:39|  0   1  99   0   0|   0    61M| 104   380 |   0     0 | 649   282 
11-08 00:30:40|  1   1  99   0   0|   0    61M| 172   528 |   0     0 | 633   284 
11-08 00:30:41|  0   0  98   0   0|   0    61M| 104   380 |   0     0 | 639   285 
11-08 00:30:42|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 640   291 
11-08 00:30:43|  1   1  99   0   0|   0    61M| 104   380 |   0     0 | 650   291 
11-08 00:30:44|  1   1  99   0   0|   0    61M| 104   380 |   0     0 | 652   297 
11-08 00:30:45|  0   0  99   0   0|   0    61M| 180   470 |   0     0 | 640   296 
11-08 00:30:46|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 636   288 
11-08 00:30:47|  1   1  99   0   0|   0    61M| 276  4860 |   0     0 | 672   329 
11-08 00:30:48|  1   1  97   0   0|1052k   48M| 104   380 |   0     0 | 687   417 
11-08 00:30:49|  0   0  99   0   1|   0    74M| 104   380 |   0     0 | 745   477 
11-08 00:30:50|  1   0  99   0   0|   0    61M| 172   528 |   0     0 | 640   417 
11-08 00:30:51|  0   0  98   0   0|   0    61M| 104   380 |   0     0 | 603   401 
11-08 00:30:52|  0   0  98   0   0|   0    61M| 104   380 |   0     0 | 632   427 
11-08 00:30:53|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 622   426 
11-08 00:30:54|  0   0  99   0   0|   0    61M| 104   380 |   0     0 | 623   421 
11-08 00:30:55|  0   0  98   0   0|   0    61M| 104   380 |   0     0 | 613   411 
11-08 00:30:56|  1   0  99   0   0|   0    61M| 104   380 |   0     0 | 617   412 
11-08 00:30:57|  0   0  98   0   0|   0    61M| 172   528 |   0     0 | 617   404 
11-08 00:30:58|  1   0  99   0   0|   0    61M| 104   380 |   0     0 | 622   407 
